"","x"
"1","No"
"2","No"
"3","Yes"
"4","No"
"5","No"
"6","No"
"7","No"
"8","No"
"9","Yes"
"10","No"
"11","No"
"12","No"
"13","No"
"14","No"
"15","No"
"16","No"
"17","Yes"
"18","No"
"19","No"
"20","No"
"21","Yes"
"22","No"
"23","No"
"24","No"
"25","No"
"26","No"
"27","No"
"28","No"
"29","Yes"
"30","No"
"31","No"
"32","No"
"33","No"
"34","No"
"35","No"
"36","No"
"37","No"
"38","Yes"
"39","No"
"40","No"
"41","Yes"
"42","No"
"43","No"
"44","No"
"45","No"
"46","Yes"
"47","No"
"48","No"
"49","No"
"50","No"
"51","Yes"
"52","No"
"53","Yes"
"54","No"
"55","No"
"56","Yes"
"57","No"
"58","Yes"
"59","No"
"60","No"
"61","Yes"
"62","No"
"63","No"
"64","No"
"65","No"
"66","No"
"67","No"
"68","Yes"
"69","Yes"
"70","No"
"71","Yes"
"72","Yes"
"73","Yes"
"74","No"
"75","No"
"76","No"
"77","No"
"78","No"
"79","No"
"80","No"
"81","No"
"82","No"
"83","No"
"84","No"
"85","No"
"86","Yes"
"87","Yes"
"88","No"
"89","No"
"90","Yes"
"91","No"
"92","No"
"93","No"
"94","No"
"95","Yes"
"96","No"
"97","Yes"
"98","No"
"99","No"
"100","No"
"101","No"
"102","Yes"
"103","Yes"
"104","No"
"105","No"
"106","No"
"107","No"
"108","No"
"109","No"
"110","No"
"111","No"
"112","Yes"
"113","No"
"114","No"
"115","No"
"116","No"
"117","No"
"118","Yes"
"119","No"
"120","No"
"121","No"
"122","No"
"123","Yes"
"124","Yes"
"125","No"
"126","No"
"127","Yes"
"128","No"
"129","Yes"
"130","Yes"
"131","No"
"132","No"
"133","No"
"134","No"
"135","No"
"136","Yes"
"137","Yes"
"138","No"
"139","No"
"140","No"
"141","Yes"
"142","Yes"
"143","No"
"144","Yes"
"145","Yes"
"146","No"
"147","No"
"148","No"
"149","No"
"150","Yes"
"151","No"
"152","No"
"153","No"
"154","No"
"155","No"
"156","Yes"
"157","No"
"158","Yes"
"159","No"
"160","Yes"
"161","No"
"162","No"
"163","No"
"164","Yes"
"165","Yes"
"166","No"
"167","Yes"
"168","No"
"169","No"
"170","No"
"171","No"
"172","No"
"173","No"
"174","No"
"175","No"
"176","No"
"177","No"
"178","Yes"
"179","No"
"180","No"
"181","No"
"182","Yes"
"183","No"
"184","Yes"
"185","No"
"186","No"
"187","No"
"188","Yes"
"189","No"
"190","Yes"
"191","Yes"
"192","Yes"
"193","No"
"194","No"
"195","No"
"196","No"
"197","Yes"
"198","No"
"199","No"
"200","No"
"201","No"
"202","Yes"
"203","Yes"
"204","Yes"
"205","Yes"
"206","No"
"207","Yes"
"208","Yes"
"209","No"
"210","Yes"
"211","No"
"212","Yes"
"213","No"
"214","Yes"
"215","Yes"
"216","No"
"217","Yes"
"218","Yes"
"219","No"
"220","Yes"
"221","Yes"
"222","Yes"
"223","No"
"224","Yes"
"225","Yes"
"226","Yes"
"227","No"
"228","Yes"
"229","No"
"230","No"
"231","Yes"
"232","Yes"
"233","Yes"
"234","Yes"
"235","No"
"236","Yes"
"237","No"
"238","Yes"
"239","Yes"
"240","Yes"
"241","Yes"
"242","Yes"
"243","No"
"244","No"
"245","Yes"
"246","Yes"
"247","No"
"248","Yes"
"249","No"
"250","Yes"
"251","Yes"
"252","Yes"
"253","Yes"
"254","Yes"
"255","Yes"
"256","Yes"
"257","No"
"258","No"
"259","No"
"260","Yes"
"261","Yes"
"262","No"
"263","Yes"
"264","Yes"
"265","Yes"
"266","Yes"
"267","Yes"
"268","No"
"269","No"
"270","Yes"
"271","No"
"272","No"
"273","Yes"
"274","No"
"275","Yes"
"276","Yes"
"277","No"
"278","No"
"279","Yes"
"280","No"
"281","Yes"
"282","No"
"283","Yes"
"284","Yes"
"285","Yes"
"286","Yes"
"287","Yes"
"288","Yes"
"289","Yes"
"290","Yes"
"291","No"
"292","No"
"293","Yes"
"294","Yes"
"295","Yes"
"296","No"
"297","Yes"
"298","Yes"
"299","No"
"300","No"
"301","Yes"
"302","Yes"
"303","Yes"
"304","Yes"
"305","Yes"
"306","No"
"307","No"
"308","Yes"
"309","Yes"
"310","Yes"
"311","Yes"
"312","Yes"
"313","No"
"314","No"
"315","Yes"
"316","Yes"
"317","Yes"
"318","Yes"
"319","Yes"
"320","Yes"
"321","Yes"
"322","Yes"
"323","No"
"324","Yes"
"325","Yes"
"326","Yes"
"327","Yes"
"328","Yes"
"329","Yes"
"330","No"
"331","No"
"332","Yes"
"333","No"
"334","No"
"335","Yes"
"336","No"
"337","Yes"
"338","Yes"
"339","Yes"
"340","Yes"
"341","Yes"
"342","Yes"
"343","Yes"
"344","Yes"
"345","Yes"
"346","Yes"
"347","Yes"
"348","Yes"
"349","Yes"
"350","No"
"351","Yes"
"352","Yes"
"353","Yes"
"354","Yes"
"355","Yes"
"356","Yes"
"357","No"
"358","Yes"
"359","Yes"
"360","Yes"
"361","Yes"
"362","No"
"363","Yes"
"364","Yes"
"365","Yes"
